Block,FIX,FixMarkerNonTarget,FixMarkerTarget,ITI,ITIMarkerNonTarget,ITIMarkerTarget,StimDuration,StimMarkerNonTarget,StimMarkerTarget,Subject,TaskDescription,TrialNum,hasResponse,isTarget,nonTargetKey,targetKey,time_ITI,time_memset
1,0,40,50,1.41079002373332,42,52,1,41,51,1,Oddball_Task,1,0,0,m,c,23096.1659967,23097.583683
1,0,40,50,1.58680213684584,42,52,1,41,51,1,Oddball_Task,2,0,0,m,c,23098.6790805,23100.2644898
1,0,40,50,1.49387812821164,42,52,1,41,51,1,Oddball_Task,3,0,1,m,c,23101.3086801,23102.8102677
1,0,40,50,1.43243646163865,42,52,1,41,51,1,Oddball_Task,4,0,0,m,c,23103.8379869,23105.2728037
1,0,40,50,1.50570662710124,42,52,1,41,51,1,Oddball_Task,5,0,0,m,c,23106.3347094,23107.8352722
1,0,40,50,1.45259425690803,42,52,1,41,51,1,Oddball_Task,6,0,1,m,c,23108.8556283,23110.3067072
1,0,40,50,1.54963031856474,42,52,1,41,51,1,Oddball_Task,7,0,0,m,c,23111.319728,23112.8710541
1,0,40,50,1.44579539374336,42,52,1,41,51,1,Oddball_Task,8,0,0,m,c,23113.8815128,23115.3322432
1,0,40,50,1.56516339549791,42,52,1,41,51,1,Oddball_Task,9,0,0,m,c,23116.3455433,23117.9125444
1,0,40,50,1.41563510575064,42,52,1,41,51,1,Oddball_Task,10,0,0,m,c,23118.9222274,23120.3401823
