Block,FIX,FixMarkerNonTarget,FixMarkerTarget,ITI,ITIMarkerNonTarget,ITIMarkerTarget,StimDuration,StimMarkerNonTarget,StimMarkerTarget,Subject,TaskDescription,TrialNum,hasResponse,isTarget,nonTargetKey,targetKey,time_ITI,time_memset
2,0,40,50,1.57488492578181,42,52,1,41,51,901,Oddball_Task,1,0,0,m,c,13385.2918938633,13386.8911624326
2,0,40,50,1.55190264336754,42,52,1,41,51,901,Oddball_Task,2,0,0,m,c,13387.9572942362,13389.5234838998
2,0,40,50,1.41501929902204,42,52,1,41,51,901,Oddball_Task,3,0,0,m,c,13390.5730274495,13392.0058965401
2,0,40,50,1.55565733794096,42,52,1,41,51,901,Oddball_Task,4,0,0,m,c,13393.0553734633,13394.6215198781
2,0,40,50,1.42959359354561,42,52,1,41,51,901,Oddball_Task,5,0,1,m,c,13395.6877025283,13397.1372098426
2,0,40,50,1.56768606875267,42,52,1,41,51,901,Oddball_Task,6,0,1,m,c,13398.1866233538,13399.7696069952
2,0,40,50,1.41509905245907,42,52,1,41,51,901,Oddball_Task,7,0,0,m,c,13400.8190470985,13402.2519506712
2,0,40,50,1.41338607912134,42,52,1,41,51,901,Oddball_Task,8,0,0,m,c,13403.301324148,13404.7343890271
2,0,40,50,1.4841233643832,42,52,1,41,51,901,Oddball_Task,9,0,0,m,c,13405.7838522159,13407.283418559
2,0,40,50,1.44352532457861,42,52,1,41,51,901,Oddball_Task,10,0,0,m,c,13408.3496155281,13409.8157920416
2,0,40,50,1.47467644761298,42,52,1,41,51,901,Oddball_Task,11,0,1,m,c,13410.8653125059,13412.3481471143
2,0,40,50,1.52755396072178,42,52,1,41,51,901,Oddball_Task,12,0,0,m,c,13413.3977987861,13414.9471199552
2,0,40,50,1.55326345487418,42,52,1,41,51,901,Oddball_Task,13,0,0,m,c,13415.9967163971,13417.562864273
2,0,40,50,1.53206365643262,42,52,1,41,51,901,Oddball_Task,14,0,0,m,c,13418.6124376294,13420.1618704272
2,0,40,50,1.52476219266162,42,52,1,41,51,901,Oddball_Task,15,0,1,m,c,13421.2280542463,13422.7775077918
2,0,40,50,1.52122635187788,42,52,1,41,51,901,Oddball_Task,16,0,1,m,c,13423.827062446,13425.3598339345
2,0,40,50,1.59642023256465,42,52,1,41,51,901,Oddball_Task,17,0,0,m,c,13426.4094312531,13428.025485618
2,0,40,50,1.59657486296423,42,52,1,41,51,901,Oddball_Task,18,0,1,m,c,13429.0750843977,13430.6911437304
2,0,40,50,1.548316068554,42,52,1,41,51,901,Oddball_Task,19,0,0,m,c,13431.7406226992,13433.3068572222
2,0,40,50,1.48718326293779,42,52,1,41,51,901,Oddball_Task,20,0,0,m,c,13434.3563430548,13435.8558521224
2,0,40,50,1.576325998958,42,52,1,41,51,901,Oddball_Task,21,0,0,m,c,13436.9053904122,13438.5048524322
2,0,40,50,1.42128856643246,42,52,1,41,51,901,Oddball_Task,22,0,0,m,c,13439.5543682209,13440.9871961082
2,0,40,50,1.50549478414831,42,52,1,41,51,901,Oddball_Task,23,0,1,m,c,13442.036801609,13443.5528819816
2,0,40,50,1.41833600500836,42,52,1,41,51,901,Oddball_Task,24,0,0,m,c,13444.6025367422,13446.0353262397
2,0,40,50,1.5316200859975,42,52,1,41,51,901,Oddball_Task,25,0,1,m,c,13447.1014945132,13448.6509360777
2,0,40,50,1.44831384965683,42,52,1,41,51,901,Oddball_Task,26,0,0,m,c,13449.7005038819,13451.1666856554
2,0,40,50,1.54788172785202,42,52,1,41,51,901,Oddball_Task,27,0,0,m,c,13452.2328767801,13453.7989688416
2,0,40,50,1.5363416558693,42,52,1,41,51,901,Oddball_Task,28,0,0,m,c,13454.8484653437,13456.3979413903
2,0,40,50,1.56217075691978,42,52,1,41,51,901,Oddball_Task,29,0,1,m,c,13457.4642052781,13459.0469475445
2,0,40,50,1.50614471631695,42,52,1,41,51,901,Oddball_Task,30,0,0,m,c,13460.0965483697,13461.612621729
