Block,FIX,FixMarkerNonTarget,FixMarkerTarget,ITI,ITIMarkerNonTarget,ITIMarkerTarget,StimDuration,StimMarkerNonTarget,StimMarkerTarget,Subject,TaskDescription,TrialNum,hasResponse,isTarget,nonTargetKey,targetKey,time_ITI,time_memset
2,0,40,50,1.57478548117235,42,52,0.2,41,51,1,Oddball_Task,1,0,1,m,c,66381.5465892,66383.1158507
2,0,40,50,1.51299591414764,42,52,0.2,41,51,1,Oddball_Task,2,0,0,m,c,66383.3285969,66384.8474307
2,0,40,50,1.44119510310645,42,52,0.2,41,51,1,Oddball_Task,3,0,0,m,c,66385.0629,66386.4979845
2,0,40,50,1.42114188531634,42,52,0.2,41,51,1,Oddball_Task,4,0,1,m,c,66386.7142267,66388.1318051
2,0,40,50,1.52419172878706,42,52,0.2,41,51,1,Oddball_Task,5,0,0,m,c,66388.3499407,66389.8670636
2,0,40,50,1.58624027692165,42,52,0.2,41,51,1,Oddball_Task,6,0,1,m,c,66390.0735096,66391.6574871
2,0,40,50,1.41268090013856,42,52,0.2,41,51,1,Oddball_Task,7,0,1,m,c,66391.8697478,66393.2868319
2,0,40,50,1.59687966244819,42,52,0.2,41,51,1,Oddball_Task,8,0,0,m,c,66393.4930144,66395.0945376
2,0,40,50,1.50267548371751,42,52,0.2,41,51,1,Oddball_Task,9,0,1,m,c,66395.3064855,66396.8076199
2,0,40,50,1.42678625019759,42,52,0.2,41,51,1,Oddball_Task,10,0,1,m,c,66397.0221851,66398.4574067
2,0,40,50,1.46026121291728,42,52,0.2,41,51,1,Oddball_Task,11,0,1,m,c,66398.6737091,66400.1410248
2,0,40,50,1.49341363740577,42,52,0.2,41,51,1,Oddball_Task,12,0,0,m,c,66400.3505955,66401.852388
2,0,40,50,1.56844132248387,42,52,0.2,41,51,1,Oddball_Task,13,0,0,m,c,66402.0624712,66403.6305287
2,0,40,50,1.46957583886545,42,52,0.2,41,51,1,Oddball_Task,14,0,0,m,c,66403.8444259,66405.3125544
2,0,40,50,1.43542150675782,42,52,0.2,41,51,1,Oddball_Task,15,0,0,m,c,66405.5289044,66406.9627186
2,0,40,50,1.57969722756686,42,52,0.2,41,51,1,Oddball_Task,16,0,0,m,c,66407.1761808,66408.7611841
2,0,40,50,1.50799641980759,42,52,0.2,41,51,1,Oddball_Task,17,0,0,m,c,66408.9748123,66410.4762311
2,0,40,50,1.45756986896303,42,52,0.2,41,51,1,Oddball_Task,18,0,0,m,c,66410.6898518,66412.141744
2,0,40,50,1.55279141569839,42,52,0.2,41,51,1,Oddball_Task,19,0,1,m,c,66412.3539261,66413.9055974
2,0,40,50,1.43562339077735,42,52,0.2,41,51,1,Oddball_Task,20,0,0,m,c,66414.1187604,66415.554106
