Block,FIX,FixMarkerNonTarget,FixMarkerTarget,ITI,ITIMarkerNonTarget,ITIMarkerTarget,StimDuration,StimMarkerNonTarget,StimMarkerTarget,Subject,TaskDescription,TrialNum,hasResponse,isTarget,nonTargetKey,targetKey,time_ITI,time_memset
1,0,40,50,2.04893856141483,42,52,1,41,51,1,Oddball_Task,1,0,0,m,c,2455.9933113,2458.0438088
1,0,40,50,1.93670223114745,42,52,1,41,51,1,Oddball_Task,2,0,0,m,c,2459.0541222,2460.9867614
1,0,40,50,2.05604548703028,42,52,1,41,51,1,Oddball_Task,3,0,1,m,c,2461.9985365,2464.0494451
1,0,40,50,2.05514253572168,42,52,1,41,51,1,Oddball_Task,4,0,1,m,c,2465.056399,2467.107165
1,0,40,50,1.98935674988596,42,52,1,41,51,1,Oddball_Task,5,0,1,m,c,2468.1199257,2470.103242
1,0,40,50,2.00215431283442,42,52,1,41,51,1,Oddball_Task,6,0,0,m,c,2471.1118777,2473.1126718
1,0,40,50,2.02886362603874,42,52,1,41,51,1,Oddball_Task,7,0,0,m,c,2474.1244919,2476.1585935
1,0,40,50,2.00656511775989,42,52,1,41,51,1,Oddball_Task,8,0,0,m,c,2477.16826,2479.1698443
1,0,40,50,2.0751885622986,42,52,1,41,51,1,Oddball_Task,9,0,0,m,c,2480.1809636,2482.2644912
1,0,40,50,2.01740894090628,42,52,1,41,51,1,Oddball_Task,10,0,0,m,c,2483.2755663,2485.2931178
