Block,FIX,FixMarkerNonTarget,FixMarkerTarget,ITI,ITIMarkerNonTarget,ITIMarkerTarget,StimDuration,StimMarkerNonTarget,StimMarkerTarget,Subject,TaskDescription,TrialNum,hasResponse,isTarget,nonTargetKey,oddball_acc,oddball_correct,oddball_istarget,oddball_response,oddball_rt,targetKey,time_ITI,time_memset
6,0,40,50,1.44668917413942,42,52,1,41,51,901,Oddball_Task,1,1,0,m,1,m,0,m,0.556202112178653,c,13857.1946801967,13858.6607994348
6,0,40,50,1.54172687941689,42,52,1,41,51,901,Oddball_Task,2,1,0,m,1,m,0,m,0.268567178833109,c,13859.9102427526,13861.4764099151
6,0,40,50,1.41281178419017,42,52,1,41,51,901,Oddball_Task,3,1,1,m,1,c,1,c,0.466720338041341,c,13862.7091004582,13864.1420519553
6,0,40,50,1.49824073770619,42,52,1,41,51,901,Oddball_Task,4,1,0,m,1,m,0,m,0.509793808409086,c,13865.3746890218,13866.8909324541
6,0,40,50,1.42660630774995,42,52,1,41,51,901,Oddball_Task,5,1,0,m,1,m,0,m,0.379195280034764,c,13868.1237734914,13869.5732641491
6,0,40,50,1.48175866658999,42,52,1,41,51,901,Oddball_Task,6,1,0,m,1,m,0,m,0.334664208108734,c,13870.8059503089,13872.3055701285
6,0,40,50,1.44395108263564,42,52,1,41,51,901,Oddball_Task,7,1,0,m,1,m,0,m,0.291677819794131,c,13873.5383912947,13875.0045464761
6,0,40,50,1.4189200092815,42,52,1,41,51,901,Oddball_Task,8,1,0,m,1,m,0,m,0.377800506126732,c,13876.2372568903,13877.670157833
6,0,40,50,1.48352825429844,42,52,1,41,51,901,Oddball_Task,9,1,0,m,1,m,0,m,0.405123229867968,c,13878.902949777,13880.4025777789
6,0,40,50,1.4222561142206,42,52,1,41,51,901,Oddball_Task,10,1,0,m,1,m,0,m,0.235559283004477,c,13881.6351593233,13883.0681835836
6,0,40,50,1.4656479995071,42,52,1,41,51,901,Oddball_Task,11,1,0,m,1,m,0,m,0.255111541000588,c,13884.3176873912,13885.800530474
6,0,40,50,1.57766333092327,42,52,1,41,51,901,Oddball_Task,12,1,0,m,1,m,0,m,0.238459290601895,c,13887.033210205,13888.6327842615
6,0,40,50,1.48395945817921,42,52,1,41,51,901,Oddball_Task,13,1,0,m,1,m,0,m,0.202218838945555,c,13889.8654358234,13891.3650427853
6,0,40,50,1.59479082913842,42,52,1,41,51,901,Oddball_Task,14,1,1,m,0,c,1,m,0.24114597640073,c,13892.597722224,13894.213990553
6,0,40,50,1.56000582134299,42,52,1,41,51,901,Oddball_Task,15,1,0,m,1,m,0,m,0.849389841207085,c,13895.4467923748,13897.0295361022
6,0,40,50,1.56032885249854,42,52,1,41,51,901,Oddball_Task,16,1,0,m,1,m,0,m,0.617781687053139,c,13898.2621772599,13899.8450966126
6,0,40,50,1.52164641495348,42,52,1,41,51,901,Oddball_Task,17,1,0,m,1,m,0,m,0.507867775550039,c,13901.0778023512,13902.6107135217
6,0,40,50,1.49917761067481,42,52,1,41,51,901,Oddball_Task,18,1,0,m,1,m,0,m,0.534683202515225,c,13903.8434274425,13905.3596431138
6,0,40,50,1.49854690567991,42,52,1,41,51,901,Oddball_Task,19,1,0,m,1,m,0,m,0.609025557703717,c,13906.6092033202,13908.1253225583
6,0,40,50,1.46692393083569,42,52,1,41,51,901,Oddball_Task,20,1,0,m,1,m,0,m,0.56518558996504,c,13909.3578801406,13910.8409210575
6,0,40,50,1.41832125260596,42,52,1,41,51,901,Oddball_Task,21,1,0,m,1,m,0,m,0.475487864034221,c,13912.0735496496,13913.506551701
6,0,40,50,1.5774725878268,42,52,1,41,51,901,Oddball_Task,22,1,0,m,1,m,0,m,0.395098274138945,c,13914.7392399064,13916.3387913461
6,0,40,50,1.44484591359525,42,52,1,41,51,901,Oddball_Task,23,1,0,m,1,m,0,m,0.415814743166266,c,13917.5714430238,13919.0377460693
6,0,40,50,1.48541925153765,42,52,1,41,51,901,Oddball_Task,24,1,0,m,1,m,0,m,0.435776695909226,c,13920.2703261527,13921.7700578932
6,0,40,50,1.45011657949103,42,52,1,41,51,901,Oddball_Task,25,1,0,m,1,m,0,m,0.29544718678153,c,13923.0195593631,13924.4857476233
6,0,40,50,1.58281080684216,42,52,1,41,51,901,Oddball_Task,26,1,0,m,1,m,0,m,0.414713652011415,c,13925.7352133843,13927.3345810167
6,0,40,50,1.52696052895574,42,52,1,41,51,901,Oddball_Task,27,1,1,m,1,c,1,c,0.3755831282906,c,13928.5841637242,13930.1335386621
6,0,40,50,1.55031275479737,42,52,1,41,51,901,Oddball_Task,28,1,0,m,1,m,0,m,0.280575735083403,c,13931.3661935542,13932.9324606564
6,0,40,50,1.58465138097728,42,52,1,41,51,901,Oddball_Task,29,1,1,m,1,c,1,c,0.448152574763299,c,13934.1651795451,13935.7647043927
6,0,40,50,1.51470687830148,42,52,1,41,51,901,Oddball_Task,30,1,1,m,1,c,1,c,0.78570159494484,c,13937.0142003103,13938.5469770588
