Block,FIX,FixMarkerNonTarget,FixMarkerTarget,ITI,ITIMarkerNonTarget,ITIMarkerTarget,StimDuration,StimMarkerNonTarget,StimMarkerTarget,Subject,TaskDescription,TrialNum,hasResponse,isTarget,nonTargetKey,oddball_acc,oddball_correct,oddball_istarget,oddball_response,oddball_rt,targetKey,time_ITI,time_memset
4,0,40,50,1.57067514083076,42,52,1,41,51,901,Oddball_Task,1,1,0,m,1,m,0,m,0.529074592495817,c,13636.4292007814,13638.0118230873
4,0,40,50,1.45493076297439,42,52,1,41,51,901,Oddball_Task,2,1,0,m,1,m,0,m,0.309467396831678,c,13639.2612666972,13640.7274548997
4,0,40,50,1.41688980970141,42,52,1,41,51,901,Oddball_Task,3,1,0,m,1,m,0,m,0.339707953688048,c,13641.9601828472,13643.3930908032
4,0,40,50,1.44318456343305,42,52,1,41,51,901,Oddball_Task,4,1,0,m,1,m,0,m,0.27232398029264,c,13644.6258289784,13646.0920668586
4,0,40,50,1.43080345524647,42,52,1,41,51,901,Oddball_Task,5,1,1,m,1,c,1,c,0.517892146835948,c,13647.3247717205,13648.7744277757
4,0,40,50,1.58915796143768,42,52,1,41,51,901,Oddball_Task,6,1,0,m,1,m,0,m,0.469562777974716,c,13650.0072442663,13651.6066282631
4,0,40,50,1.48386116472144,42,52,1,41,51,901,Oddball_Task,7,1,1,m,1,c,1,c,0.673289188382114,c,13652.8393217284,13654.3389435936
4,0,40,50,1.45403606957451,42,52,1,41,51,901,Oddball_Task,8,1,0,m,1,m,0,m,0.341917441541227,c,13655.571626539,13657.0379108823
4,0,40,50,1.55510641616992,42,52,1,41,51,901,Oddball_Task,9,1,0,m,1,m,0,m,0.439162668099016,c,13658.2706116532,13659.8368349222
4,0,40,50,1.59185774461141,42,52,1,41,51,901,Oddball_Task,10,1,0,m,1,m,0,m,0.405803521854978,c,13661.0695657919,13662.6857639299
4,0,40,50,1.49762342732341,42,52,1,41,51,901,Oddball_Task,11,1,0,m,1,m,0,m,0.392592765761947,c,13663.9184497975,13665.4347940123
4,0,40,50,1.45479406808296,42,52,1,41,51,901,Oddball_Task,12,1,1,m,1,c,1,c,0.525812814503297,c,13666.6675333904,13668.1336976307
4,0,40,50,1.45376236606149,42,52,1,41,51,901,Oddball_Task,13,1,0,m,1,m,0,m,0.706579662541117,c,13669.3663919727,13670.8326818682
4,0,40,50,1.48504929826645,42,52,1,41,51,901,Oddball_Task,14,1,0,m,1,m,0,m,0.382076877671352,c,13672.0653750413,13673.5649901854
4,0,40,50,1.40240466751479,42,52,1,41,51,901,Oddball_Task,15,1,0,m,1,m,0,m,0.316871416631329,c,13674.7975825421,13676.2139963396
4,0,40,50,1.59589001625325,42,52,1,41,51,901,Oddball_Task,16,1,0,m,1,m,0,m,0.35592304050806,c,13677.4466021385,13679.0628362197
4,0,40,50,1.46483180409509,42,52,1,41,51,901,Oddball_Task,17,1,0,m,1,m,0,m,0.456128472324053,c,13680.2954881896,13681.7784686166
4,0,40,50,1.55582883842236,42,52,1,41,51,901,Oddball_Task,18,1,0,m,1,m,0,m,0.312647644985191,c,13683.0279864508,13684.5940837723
4,0,40,50,1.4851336949038,42,52,1,41,51,901,Oddball_Task,19,1,1,m,1,c,1,c,0.541297347212094,c,13685.826652459,13687.3263526396
4,0,40,50,1.49104200840822,42,52,1,41,51,901,Oddball_Task,20,1,1,m,1,c,1,c,0.927442826836341,c,13688.5589853229,13690.0586437158
4,0,40,50,1.54669206334804,42,52,1,41,51,901,Oddball_Task,21,1,1,m,1,c,1,c,0.615909715201269,c,13691.3081516145,13692.8741779262
4,0,40,50,1.45193169691904,42,52,1,41,51,901,Oddball_Task,22,1,1,m,1,c,1,c,0.580649667159378,c,13694.1068570726,13695.573208627
4,0,40,50,1.59102354225341,42,52,1,41,51,901,Oddball_Task,23,1,0,m,1,m,0,m,0.539783346872355,c,13696.8227451634,13698.422118348
4,0,40,50,1.52484839744813,42,52,1,41,51,901,Oddball_Task,24,1,0,m,1,m,0,m,0.461111728023752,c,13699.6547767468,13701.2043921831
4,0,40,50,1.43778669260627,42,52,1,41,51,901,Oddball_Task,25,1,1,m,1,c,1,c,0.370124135755759,c,13702.4539407006,13703.903349244
4,0,40,50,1.44744057506346,42,52,1,41,51,901,Oddball_Task,26,1,0,m,1,m,0,m,0.486906424785047,c,13705.1362748251,13706.6023136105
4,0,40,50,1.41563369359117,42,52,1,41,51,901,Oddball_Task,27,1,1,m,1,c,1,c,0.668267651648421,c,13707.8518928113,13709.2846903654
4,0,40,50,1.53905787970463,42,52,1,41,51,901,Oddball_Task,28,1,1,m,1,c,1,c,0.941960982565433,c,13710.5171949977,13712.0669457327
4,0,40,50,1.51181191920207,42,52,1,41,51,901,Oddball_Task,29,1,1,m,1,c,1,c,0.687673798822289,c,13713.3164159348,13714.8491134913
4,0,40,50,1.5717772689442,42,52,1,41,51,901,Oddball_Task,30,1,0,m,1,m,0,m,0.767095258410336,c,13716.0986950299,13717.681411873
