Block,FIX,FixMarkerNonTarget,FixMarkerTarget,ITI,ITIMarkerNonTarget,ITIMarkerTarget,StimDuration,StimMarkerNonTarget,StimMarkerTarget,Subject,TaskDescription,TrialNum,hasResponse,isTarget,nonTargetKey,oddball_acc,oddball_correct,oddball_istarget,oddball_response,oddball_rt,targetKey,time_ITI,time_memset
1,0,40,50,2.04435160667822,42,52,1,41,51,1,Oddball_Task,1,1,0,m,1,m,0,m,0.349694999997155,c,65854.7971682,65856.8487192
1,0,40,50,1.96822492140982,42,52,1,41,51,1,Oddball_Task,2,1,1,m,0,c,1,m,0.398081000006641,c,65857.8735525,65859.8420548
1,0,40,50,2.04768536799539,42,52,1,41,51,1,Oddball_Task,3,1,0,m,1,m,0,m,0.513941199998953,c,65860.8644595,65862.9164014
1,0,40,50,1.9538123173372,42,52,1,41,51,1,Oddball_Task,4,1,0,m,1,m,0,m,0.476881499998854,c,65863.9378141,65865.8896915
1,0,40,50,1.95749963461323,42,52,1,41,51,1,Oddball_Task,5,1,0,m,1,m,0,m,0.373089900007471,c,65866.9131034,65868.8646069
1,0,40,50,2.03667264865893,42,52,1,41,51,1,Oddball_Task,6,1,0,m,1,m,0,m,0.37043990001257,c,65869.8874741,65871.9229062
1,0,40,50,2.02888855628627,42,52,1,41,51,1,Oddball_Task,7,1,0,m,1,m,0,m,0.304154500001459,c,65872.944185,65874.9793845
1,0,40,50,2.02715734210282,42,52,1,41,51,1,Oddball_Task,8,1,0,m,1,m,0,m,0.382412499995553,c,65876.0032094,65878.038278
1,0,40,50,2.04185634054211,42,52,1,41,51,1,Oddball_Task,9,1,0,m,1,m,0,m,0.443121300006169,c,65879.0596841,65881.0936579
1,0,40,50,2.02146078813713,42,52,1,41,51,1,Oddball_Task,10,1,1,m,1,c,1,c,0.484072499995818,c,65882.111206,65884.130325
