Block,FIX,FixMarkerNonTarget,FixMarkerTarget,ITI,ITIMarkerNonTarget,ITIMarkerTarget,StimDuration,StimMarkerNonTarget,StimMarkerTarget,Subject,TaskDescription,TrialNum,hasResponse,isTarget,nonTargetKey,targetKey,time_ITI,time_memset
3,0,40,50,1.54859246313319,42,52,1,41,51,901,Oddball_Task,1,0,0,m,c,13479.1558074125,13480.7219573339
3,0,40,50,1.43211895066662,42,52,1,41,51,901,Oddball_Task,2,0,0,m,c,13481.7880873842,13483.2377048661
3,0,40,50,1.57626221847046,42,52,1,41,51,901,Oddball_Task,3,0,0,m,c,13484.2871788671,13485.886664557
3,0,40,50,1.46060631223876,42,52,1,41,51,901,Oddball_Task,4,0,0,m,c,13486.9360161172,13488.4189994664
3,0,40,50,1.47237695321923,42,52,1,41,51,901,Oddball_Task,5,0,0,m,c,13489.4685009363,13490.9513641824
3,0,40,50,1.45738080400287,42,52,1,41,51,901,Oddball_Task,6,0,0,m,c,13492.0008872767,13493.4670532702
3,0,40,50,1.58524331593519,42,52,1,41,51,901,Oddball_Task,7,0,0,m,c,13494.5164840225,13496.1160413067
3,0,40,50,1.55617559275977,42,52,1,41,51,901,Oddball_Task,8,0,0,m,c,13497.1654837478,13498.7317730589
3,0,40,50,1.48803383428714,42,52,1,41,51,901,Oddball_Task,9,0,1,m,c,13499.7811041636,13501.2808078508
3,0,40,50,1.51980882779237,42,52,1,41,51,901,Oddball_Task,10,0,0,m,c,13502.3303359129,13503.8632140623
3,0,40,50,1.48821466908775,42,52,1,41,51,901,Oddball_Task,11,0,0,m,c,13504.9127441699,13506.4121904099
3,0,40,50,1.50332860422435,42,52,1,41,51,901,Oddball_Task,12,0,1,m,c,13507.4617152575,13508.9779008299
3,0,40,50,1.49391950772336,42,52,1,41,51,901,Oddball_Task,13,0,0,m,c,13510.0274832452,13511.5435712156
3,0,40,50,1.40449019240753,42,52,1,41,51,901,Oddball_Task,14,0,0,m,c,13512.5931381431,13514.0092792978
3,0,40,50,1.48273601272763,42,52,1,41,51,901,Oddball_Task,15,0,1,m,c,13515.0588503165,13516.5582968487
3,0,40,50,1.58324434946829,42,52,1,41,51,901,Oddball_Task,16,0,0,m,c,13517.6078655295,13519.2073415761
3,0,40,50,1.5407301973556,42,52,1,41,51,901,Oddball_Task,17,0,0,m,c,13520.2568477215,13521.8062586027
3,0,40,50,1.50804386043013,42,52,1,41,51,901,Oddball_Task,18,0,0,m,c,13522.8559073523,13524.3886659831
3,0,40,50,1.50870714036734,42,52,1,41,51,901,Oddball_Task,19,0,1,m,c,13525.4382022273,13526.9710365435
3,0,40,50,1.57254976485778,42,52,1,41,51,901,Oddball_Task,20,0,0,m,c,13528.0206362985,13529.6033182685
3,0,40,50,1.5550141422881,42,52,1,41,51,901,Oddball_Task,21,0,0,m,c,13530.6528740916,13532.2190521241
3,0,40,50,1.46408214300851,42,52,1,41,51,901,Oddball_Task,22,0,0,m,c,13533.2852642309,13534.7679965617
3,0,40,50,1.40317958571816,42,52,1,41,51,901,Oddball_Task,23,0,0,m,c,13535.8341251509,13537.2503574788
3,0,40,50,1.45509359746627,42,52,1,41,51,901,Oddball_Task,24,0,0,m,c,13538.2998861253,13539.7660857244
3,0,40,50,1.55285564469423,42,52,1,41,51,901,Oddball_Task,25,0,0,m,c,13540.8154916378,13542.38178767
3,0,40,50,1.55290877649666,42,52,1,41,51,901,Oddball_Task,26,0,0,m,c,13543.4313417398,13544.9974288335
3,0,40,50,1.40558464148743,42,52,1,41,51,901,Oddball_Task,27,0,0,m,c,13546.063747659,13547.4798125439
3,0,40,50,1.43355684790492,42,52,1,41,51,901,Oddball_Task,28,0,1,m,c,13548.5292427117,13549.9789060724
3,0,40,50,1.48377650208796,42,52,1,41,51,901,Oddball_Task,29,0,1,m,c,13551.045032616,13552.544579088
3,0,40,50,1.51856541284583,42,52,1,41,51,901,Oddball_Task,30,0,0,m,c,13553.6107880382,13555.1435890411
